company,complaint_count
"Lowther Johnson Attorneys at Law, LLC",2
Lowcountry Credit Inc.,2
"FCTI, Inc.",2
"Lotane & Associates, P.A.",2
FIRST AMERICAN FINANCIAL CORPORATION,2
MS SERVICES LLC,2
"MacDowell & Associates, Ltd.",2
"Makes Cents, Inc. dba Advance.Cash",2
Sports & Imports Auto,2
"Rogers, Carter & Payne, LLC",2
"Ross, Stuart & Dawson Inc",2
"NEXBANK CAPITAL, INC.",2
"NPG Associates, Inc.",2
DIXIE FINANCE COMPANY,2
"American Management Services, Inc.",2
"DRT Enterprises, Inc",2
"GCFS, INC.",2
CRED Technologies dba cred.ai,2
"Dorough & Dorough, LLC",2
"Rubin Lublin, LLC",2
S.B.S. Trust Deed Network,2
"SACOR FINANCIAL, INC",2
"SB Holdings, Inc.",2
"CMD Investment Group, Inc.",2
COINFLIP LLC,2
NAM National Arbitration and Mediation,2
"Lakeview Law Group, PLLC",2
"NCC Holdings, LLC",2
GATEWAY FIRST BANK,2
"New Horizons Finance Company, Inc",2
"Nair & Levin, P.C.",2
U DRIVE ACCEPTANCE CORPORATION,2
"Allied Collection Service, Inc. (Indiana)",2
D.B.F. COLLECTION CORP.,2
"Allied Capital Management, Inc.",2
"LPH, Inc.",2
GUARANTEED RATE INC.,2
"Robert W. Warner & Associates, P.C.",2
Roger Van Wert,2
"American Collections Enterprise, Inc.",2
CREDIT MANAGEMENT CORPORATION,2
"AmeriHome Mortgage Company, LLC",2
CSO Financial,2
Altitude Community Law P.C.,2
Trust Financial LLC,2
"Tri-State Adjustments, Inc.",2
Robinson Economic Development Corporation,2
Rocky Mountain Capital Management,2
"Aldridge Pite, LLP",2
"SUN WEST MORTGAGE COMPANY, INC.",2
Broward Adjustment Services,2
"Buffaloe & Associates, PLC",2
"Lamont, Hanley & Associates, Inc.",2
Draper and Kramer Mortgage Corp.,2
"The Nguyen Law Firm, PLC",2
Miller Harrison LLC,2
"The Law Offices of Kenosian & Miele, LLP",2
Model Finance Company,2
Lakeside Receivables LLC,2
Freede Solutions Inc.,2
"Burke Moore Law Group, LLP",2
"Fold, Inc.",2
MicroBilt / PRBC (formerly CL Verify),2
"Mid-America Accounts Control Bureau, Inc.",2
"Mid-Minnesota Management Services, Inc.",2
"Midstate Collection Solutions, Inc.",2
Five Lakes Law Group PLLC,2
Leif Technologies Inc.,2
"The Law Office of Michael A. Priddle, LLC",2
"LTD Financial Services, L.P.",2
"COLLECTION AGENCY OF THE HIGH COUNTRY,INC",2
"Apothaker & Associates, PC",2
SE Capital Corp dba Credito Familiar,2
Amscot Corporation,2
"Tiffany & Bosco, P.A.",2
"Tiburon Financial, LLC",2
"CJA Auto Sales, Inc.",2
"CBM Services, Inc.",2
STERLING BANCORP,2
"Delta Management Group, Inc.",2
"Dimand Law Offices, P.C.",2
Lead Finance DBA HyperSpeed Loans,2
"CFAM Financial Services, LLC",2
"SMS Financial, LLC",2
Layer2 Financial Inc.,2
STATE BANK OF INDIA - NEW YORK BRANCH,2
Lawson Hamilton & Associates,2
Law Offices of Goldsmith & Hull A.P.C.,2
"Law Office of James R. Vaughan, P.C.",2
"Delta Management Associates, Inc.",2
"60 Month Loans, Inc.",1
950 Credit Inc,1
A-L FINANCIAL CORP,1
"ZENCO COLLECTION, LLC",1
"Zimmerman & Zimmerman, P.A.",1
"Zion Lending, LLC",1
Homegrown Auto LLC,1
"Horsepower Financial, LLC",1
"Hosto & Buchan, PLLC",1
ACE Midland Holdings,1
"ACQ Holdings, LLC.",1
INSPERITY INC,1
"IMPAC MORTGAGE HOLDINGS, INC.",1
"Hofman Law Group, A.P.C.",1
"HighPoint Law Offices, LLC",1
High Performance Capital,1
"Hiday & Ricke, P.A.",1
"Henley, Lotterhos & Henley, PLLC",1
Helm Associates,1
Heights Finance LLC,1
Inter-America Finance Corp.,1
"Insikt, Inc.",1
ALASKA HOUSING FINANCE CORPORATION,1
AIH Receivables Management Inc.,1
"AGS Financial, Inc",1
Watercress Financial Group LLC,1
"WRJ Holdings, LLC",1
Community Cash Management Corp.,1
Payday America Inc.,1
Park View Credit,1
"Collins Asset Group, LLC",1
College Assist,1
"Collection Service Center, Inc.",1
"Collection Resources, Inc.",1
"Pluese, Becker & Saltzman, LLC",1
"Pittenger Law Group, LLC.",1
Pioneer Capital Solutions Inc,1
"Pintor Partners, LP",1
"Pinebrook Holdings, LLC",1
"Pinata Rent, Inc",1
Pier Special Opportunities Fund LP,1
Physicians & Dentists Credit Bureau,1
"Phoenix Health Care Management Services, Inc.",1
PRIMARY RESIDENTIAL MORTGAGE,1
"Continental Currency Services, Inc.",1
Consumer Receivables Management LLC,1
Premium Credit Bureau,1
"Premier Judgment Recovery and Collections, LLC",1
Collectibles Management Resources,1
"Cohn, Goldberg & Deutsch,LLC",1
Cohn & Dussi LLC,1
Premier Capital Investment Group,1
"Preferred Capital Funding of Illinois, LLC",1
"Portnoff Law Associates, Ltd.",1
"Concentric Receivables Management, Ltd.",1
"Complete Collection Services, Inc.",1
"Complete Care, Inc.",1
"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",1
Community Housing Council of Fresno,1
"Cohen, Roberts & Associates, LLC",1
Coconut Funding Corporation,1
"Coastal Custom Mortgage, Inc.",1
"Cloud Willis & Ellis, LLC",1
Cliff Lending Inc. d/b/a Advance Loan Solutions,1
"Click n' Close, Inc.",1
"Cleva Technologies, Inc",1
"Professional Credit Analysts of MN, Inc.",1
"Prober & Raphael, A Law Corporation",1
"Prizm Financial Company, LLC",1
"Presto Loan Center, LLC",1
"Paratus Partners, LLC.",1
"Paramount Recovery Systems, L.P.",1
PacificLife Servicing,1
PROPEL FINANCIAL SERVICES LLC,1
PRIORITY PLUS FINANCIAL LLC,1
"Consumer Legal Group, P.C.",1
"Constantino Law Office, P.C.",1
Consolidation Capital,1
PLACID NK CORPORATION,1
PINNACLE CAPITAL MORTGAGE CORP,1
"PATRICK A. CAREY, P.A.",1
"PASSAGE HEALTH INTERNATIONAL HOLDINGS, INC.",1
"Credit Adjustment Services of Harrisburg, Inc",1
"CredHub, Inc",1
"Creative Finance, Inc.",1
"PulteGroup, Inc.",1
"Professional Solutions Collection Agency, LLC",1
Professional Service Bureau,1
Professional Receivable Solutions,1
"Professional Medical Management, Inc.",1
"Professional Datasolutions, Inc.",1
"Cornerstone Credit Group, LLC",1
Convergys,1
PARK NATIONAL CORPORATION,1
"PALOMAR ENTERPRISES, LLC",1
"PACIFIC SOUTHWEST NOTE FUND, LLC",1
Owl Bridge Credit LLC,1
Overland Bond & Investment Corporation,1
"Ovation Financial Services, LLC",1
Orbita Asset Purchasing,1
"Clasp Group, Inc.",1
"Clarity Debt Resolution, Inc",1
Chrysalis Holdings LLC,1
"RAB PERFORMANCE RECOVERIES, LLC",1
Quall Cardot LLP,1
"Quad Cities Financial, Inc.",1
Pure Debt Solutions,1
"Credit Bureau of Canyon, Inc",1
"Credit Bureau of Bainbridge, Inc.",1
"Credit Adjustment, Inc",1
Olympus1 LLC,1
Olympus Lending LLC,1
"Olympus Law Firm, PLLC",1
RUOFF MORTGAGE,1
RTO National,1
ROYAL UNITED MORTGAGE LLC,1
"ROCKFORD MERCANTILE AGENCY, INC.",1
"RNN Group, Inc",1
"RGL Associates, Inc.",1
"REPORTS, INC.",1
REMAX,1
"ClearOne Advantage, LLC",1
Counsel of the Carolinas,1
Credit Glory LLC,1
"Credit Collection Partners, Inc.",1
"Credit Clearing House of America, Inc.",1
"Ogden Holdings, LLC",1
Ocean Lending Home Loans,1
"Oak Harbor Capital, LLC",1
"OLD VIRGINIA MORTGAGE, INC",1
"Creditmax Collection Agency, Inc. d/b/a Creditmax, Inc.",1
Check N Title Loans,1
Chaparral Inc,1
"Certified Services, Inc.",1
Certified Recovery Inc,1
Century First Credit Solutions,1
"RUSH COLLECTIONS AGENCY, CORP.",1
"RUPP AND ASSOCIATES, INC.",1
"Credit Bureau of Council Bluffs, Inc DBA Credit Information Systems",1
"Central Professional Services, Inc.",1
"Centara Capital Group, Inc.",1
Celsius US Holding LLC,1
"Cedar Holdings, Inc.",1
Castle and Cookie Mortgage LLC,1
Cashera LLC,1
Receivables Management Associates,1
"Receivable Recovery Services, LLC",1
Receivable Recovery Partners LLC,1
Ready Capital Corporation,1
Ray Skillman Ford Inc,1
"Rauch-Milliken International, Inc.",1
"Rapid Investments Holdings, Inc",1
Rapid Auto Loans LLC,1
"Checkr, Inc",1
Old Republic National Title Holding Co.,1
Cash Money LLC,1
"Cash Link USA, LLC",1
Credit Wellness LLC,1
Credit Sage LLC,1
"Credit Resolutions, LLC",1
Novea Portfolio Management LLC,1
Northwest Collectors Inc.,1
"North Colony Law Group, PC",1
"Norman & Associates, Inc.",1
"NorAm Capital Holdings, Inc.",1
"Noam J. Cohen, PA",1
"Carter Business Service, Inc.",1
"Regional Collection Services, Inc.",1
"Regional Acquisition Group, Inc.",1
Redwood Lending Services,1
Red Target LLC,1
"Critical Ideas, Inc.",1
"Crimcheck Holdings, LLC",1
"Crescent City Credit Recovery, Inc.",1
"Creditors Adjustment Bureau, Inc.",1
"Newport Bayshore properties, Inc.",1
"Newman, Hesse & Associates, P. A.",1
Car World Group,1
"Capital Recovery Systems, Inc.",1
"Capital Credit and Collection Service, Inc.",1
"Capital Collections, LLC",1
"Resolution Law Group, LLC",1
Residential Bancorp,1
Repair Like A Pro LLC,1
"Reliable Auto Finance, Inc.",1
"Cashco Financial Services, Inc",1
CashMax LLC,1
"Nationwide Recovery Systems, Ltd",1
"Nations Direct Mortgage, LLC",1
DFC Global Corp.,1
"DCS2 Asset Recovery, LLC",1
Rithm Capital Corp.,1
Ripple Labs Inc.,1
Riehlman Shafer and Shaw LLC,1
"Rickart Collection Systems, Inc.",1
Richard Stone & Associates,1
Richard H. Kream,1
Revenued LLC,1
Carfast Financial Holdings,1
"Caramel Dealer Services, LLC",1
"Cuzco Capital Investment Management, LLC",1
"Cullimore & Coleman, PLC",1
Cross America Financial LLC,1
"Rosen Harwood, P.A.",1
"Rose & Associates, LLC.",1
"Rolfe & Lobello, P.A.",1
California Accounts Service,1
"CREDIT CONCEPTS, INC.",1
"Robert L. Tankel, P.A.",1
"Roach & Murtha, P.C.",1
"DAVID W. EDWARDS, P.C.",1
"D&D Motors S, Inc",1
"D Michael Dendy, A Professional Law Corporation",1
"Cypress Creek Financial, LLC",1
"National Check Bureau, Inc.",1
"National Budget Planners of South Florida, Inc",1
Nation One Mortgage Corporation,1
"Dant-Pacific, Ltd",1
"New Southern Loans, Inc",1
CRE Credit Services,1
"Dakota Financial, LLC",1
DRIVE NOW AUTO CREDIT COMPANY INC,1
"DOUGLAS, KNIGHT & ASSOCIATES, INC.",1
"DMEC Capital Services LLC, DBA Settle Our Debt",1
DLG LLC,1
NRS Billing Services LLC,1
"NRG STX Properties, LLC",1
"NEW IMAGITAS, INC",1
"NEU Money, Inc.",1
"CR-MPM, LLC dba Don Carro",1
"CORNERSTONE RESOLUTION GROUP, INC.",1
COOLEY ENTERPRISES INC,1
CONTRACT RESOLVE GROUP LLC,1
CONTOUR MORTGAGE CORPORATION,1
"COMMERCIAL SERVICES GROUP, INC.",1
NE PROCESSING LLC,1
"NDS, LLC.",1
Debt Solutions LLC,1
"Debt Direct Portfolio Management, LLC",1
Deatrick & Spies PSC,1
"Deal Depot, Inc.",1
"Darnel Quick Recovery, Inc.",1
"NCS, Inc",1
"NCP Holdings, L.P.",1
"NCD Financial, LLC",1
NATIONWIDE ACCEPTANCE LLC,1
"CMCS, Inc. DBA Central Mercantile Collection Services",1
Russell P Goldman PC,1
Royalty Management Corporation,1
Rothberg Logan & Warsco LLP,1
"CREDIT BUREAU OF NAPA COUNTY, INC.",1
Digital Currency Group Inc,1
"Devon Financial Services, Inc.",1
Delphi Group Inc.,1
"Delivery Financial Services, LLC",1
"Moxley & Associates, LLC",1
"Morgan & Associates, P.C.",1
Morales Law Group PA,1
"Moody, Jones & Ingino, P.A",1
"CASHCALL, INC.",1
"CICA Collection Agency, Inc.",1
"CHS, Inc.",1
CFS2 Inc.,1
CFS of Aurora IL LLC,1
SFMC L.P.,1
"SERVISFIRST BANCSHARES, INC.",1
SCV Inc.,1
"Sago Financial, Inc.",1
"SUN FINANCE COMPANY, LLC",1
STATEWIDE AUTO SALES,1
"CARTER-JONES COLLECTION SERVICE, INC",1
"CAPITAL RESOURCE MANAGEMENT, INC.",1
"Business Revenue Systems, Inc.",1
SSRM,1
"SPP, Inc.",1
SN SERVICING CORPORATION,1
"SML Capital, Inc.",1
SIMPLE CAR TITLE LOANS INC,1
"CCB Credit Serivces, Inc",1
N26 Inc.,1
Municipal Collections of America Inc.,1
"Direct, Inc",1
Direct Capital,1
Business Financing Corporation,1
"Bursey & Associates, P.C.",1
"Montage Mortgage, LLC",1
Moneytree Inc,1
"Mitsubishi Motors North America, Inc.",1
Minto Financial dba Minto Money,1
"Miller and Steeno, P.C.",1
Miller Davis & Peoples,1
Midwest Recovery Ltd,1
"Duke Capital, LLC",1
Bureau of Accounts Control,1
Broder Credit & Collection Service,1
Broadway Advance LLC,1
Samsa Technologies Inc,1
"Salander Enterprises, LLC",1
Saint Services LLC,1
Dominion Capital Mortgage Inc.,1
"Midwest Loan Services, Inc.",1
"Mid-Atlantic Portfolios, LLC",1
Mid Atlantic Auto Finance,1
"Miciul & Associates, LLC",1
"Michigan Mutual, Inc.",1
"Brian A. Blitz, P.A.",1
"Breit & Boomsma, P.C.",1
Breeze Labs Inc.,1
"Bonded Business Services, Ltd.",1
Seben Hospitality Investments LLC,1
"Scolopax, LLC",1
"Scheer, Green & Burke L.P.A.",1
"Sapphire Marketing Group, Inc.",1
Sands Recovery Group,1
"Sandia Resolution Company, LLC",1
Bayview Solutions LLC,1
"Bayside Recovery Services, Inc.",1
Barton Benson Jones PLLC,1
"Barr, Unger & McIntosh, LLC",1
Sigue Corp.,1
Sierra Collections and Consulting LLC,1
"Seed Consulting, LLC",1
Secure One Capital Corporation,1
Blue Bay Capital,1
Blackburne & Sons Realty Capital Corporation,1
Bison Bucks Lending,1
"Big Picture Loans, LLC",1
"Biehl & Biehl, Inc",1
"Brightfunders, LLC",1
"Douglas L. Brooks, PC",1
"Doonan, Graves & Longoria",1
SmartCredit LLC,1
Smart Money Alliance,1
"Michaels, Louis & Associates, Inc.",1
Michael Wayne Investment,1
"EOS Holdings, Inc.",1
"Dynamic Strategies, Inc",1
Michael Andrews & Associates LLC,1
"Metallicus, Inc.",1
Meridian Title  Corporation,1
"Meridian North America, Inc.",1
BetterMe Financial,1
"Berlin-Wheeler, Inc. (Kansas)",1
"Berkshire Financial Services, LLC",1
Bella Sloan Enterprises,1
Bell Global Services LLC,1
Beacon Recovery Group LLC,1
EliteCashWire.com Inc,1
Electric Solidus LLC,1
Eastern Shore Judgment Recovery,1
"East Alabama Title & Escrow Services, LLC",1
Eagle Phillips LLC,1
"Eads Murray & Pugh, P.C.",1
EZ Loans Co LLC,1
EZ Finance Company,1
EVERCOMMERCE SOLUTIONS INC.,1
Merchants Credit Corporation,1
"Medical Society Business Services, Inc.",1
South East Collection Specialist,1
"Solomon and Solomon, P.C.",1
SoLo Funds Inc.,1
Snow and Sauerteig LLP,1
Smyrna Finance LLC,1
Man-Data Inc.,1
Malacko Law Office,1
"F & S Financial Marketing, Inc.",1
Expert Credit Sweeps,1
"BYS, LLC. d/b/a Boost Your Score",1
BYL Collection Services,1
BULBUL INVESTMENTS LLC,1
Southwest Mediation Service,1
Southwest Law Offices PC,1
"Medical Financial Services, Inc.",1
"Medical Debt Recovery, Inc.",1
"McKellar & Associates Group, Inc.",1
Maxitransfers LLC,1
"Envision Payment Solutions, Inc.",1
"Emmett L. Goodman, Jr., LLC",1
Embassy Loans,1
MWS Financial Services LLC,1
"MVBA, L.L.C.",1
"MUSA Holdings, LLC",1
"FALONI & ASSOCIATES, LLC",1
Sterling  Hill Financial,1
"Stein Law, P.C.",1
State Finance Company,1
"Star Loans of Texas, Inc.",1
"StanleyAFE, LLC",1
"Sperlonga Data & Analytics Systems, LLC",1
Barker Financial LLC,1
"Eisenberg, Gold & Agrawal, P.C.",1
Economic Empowerment Center,1
"Mark A. Kirkorsky, PC",1
Mar Joe Enterprises,1
Mankin Law Group,1
"BLOOM & ASSOCIATES, P.A.",1
FIRST GUARANTY MORTGAGE CORP,1
FIRST FOUNDATION INC.,1
FIRST CREDIT FINANCE,1
"MMRR Finance, d/b/a Cash Loans Direct",1
MID FLORIDA FINANCING LLC,1
MEPCO FINANCE CORPORATION,1
"MEMBER FIRST MORTGAGE, LLC",1
"BH Financial Group, LLC",1
BG Lenders Service LLC,1
Stone Higgs & Drexler,1
Stern & Stern. P.C.,1
Sterling Credit Corp.,1
"Sterling & Associates, LLC",1
Ershowsky Verstandig PLLC,1
Mages & Price LLC,1
"Longbridge Financial, LLC",1
Locate Services LLC,1
Fairway Independent Mortgage Corporation,1
FS Card Inc.,1
MCT GROUP INC.,1
"MBM Collections, LLC",1
"MAS FINANCIAL SERVICES, INC.",1
"MAGGUILLI LAW FIRM, PLLC",1
M&S Recovery Solutions,1
"T & I Enterprises, LLC",1
"Sykes,Bourdon,Ahern & Levy, P.C.",1
Summit Consumer Group,1
"Summit Account & Computer Service, Inc.",1
Sulphur Bank Rancheria Enterprises,1
"Su Casa De Cambio Cesar Chavez, Inc.",1
"BMANSOL Intermediate Holdings, Inc.",1
Auto Credit of Virginia Inc.,1
"Auto Acceptance, LLC",1
"Aubrey Thrasher, LLC",1
"Atlas Services, Inc.",1
B&F Finance Corp.,1
"B and F Capital, DBA    H and H Legal Support Services,    DBA Paid in Cash",1
"Automotive Financial of America, Inc.",1
"Automated Accounts, Inc.",1
TM Communication LLC,1
TITLE FINANCIAL CORPORATION,1
"THE J.D. STUART LAW GROUP, LLC",1
TH Professional & Medical Collections LTD,1
"Fidelity National Financial, Inc",1
Federated Student Loan Services,1
"Farrell Holdings, LLC",1
"Loom Capital, LLC",1
First Bancorp North Carolina,1
First Atlantic Auto Credit LLC,1
"Financial Service Center of Ohio, LLC",1
"Financial Filing & Reporting, Inc.",1
"Loandrone, Inc.",1
"Loan Velocity, Inc.",1
"Loan Science, LLC",1
"Lipsky & Associates, Inc",1
"Line Financial, PBC",1
"Linden Research, Inc.",1
Assent Inc.,1
Ascension Recovery Management,1
"Tavelli Co., Inc. dba Tavco Credit Services",1
"TRUHOME SOLUTIONS, LLC",1
"AutoMoney, Inc.",1
"AutoBank Financial, LLC",1
The Collection Analyst Incorporated,1
"Lightspeed Mortgage, Inc.",1
"FirstCollect, Inc.",1
"First Texas Auto Credit, Inc.",1
"First Financial of Columbia, Inc",1
"Life Line Billing Systems, LLC",1
"Liberty Holdings, LLC",1
Lewis & Clark Capital LLC,1
"Lennar Financial Services, LLC",1
"The Carroll Mortgage Group, Inc",1
The CFM Group,1
"The Advantage Mortgage Group, Inc.",1
"Texas Palmetto Ventures, LLC dba First Credit",1
Texan Financial Services Inc,1
"TexCap Financial, LLC",1
Tesani Management Inc,1
Lenmo Inc,1
"Lendmart, LLC",1
Fradkin & Weber PA,1
Foxstar Energy Resources LLC DBA Federal Student Loans Council,1
"Fitzgerald & Campbell, A Professional Law Corporation",1
"Lend You Cash, Inc",1
"Legal Recovery Law Offices, Inc",1
Legacy Credits,1
"Arthur B. Adler & Associates, Ltd",1
"Array US, Inc",1
Armor Systems Corporation,1
"Armin, O'Conner & Boch, LLC",1
"Aristocrat Title, LLC",1
Ardmore Finance Corporation,1
"The Grogan Law Group, LLC",1
The Dunning Law Firm APC,1
Law Offices of Les Zieve,1
Law Offices of Goldberg & Oriel,1
Law Office of Steven A. Booska,1
Law Office of Linda Strumpf,1
"Larsen & Associates, P.L.",1
GENTRY FINANCE CORPORATION,1
The Shindler Law Firm,1
"The Sayer Law Group, P.C.",1
The Rose Law Firm PLLC,1
"The Rickel Law Firm, P.C.",1
"The Law Offices of Gregory Alexandrides, LLC",1
"The Law Offices of Barry J. Gammons, PLLC",1
The Law Office of Nicole Hillman,1
"The Law Office of Charles Mifsud, LLC",1
"The Law Office of Alan Pritchard, PLLC",1
The Law Firm of Krisor & Associates,1
Friendly Finance Corporation,1
Freedom Trucks LLC,1
"Lake Area Collections, LLC",1
Lafayette General Medical Center,1
Lacy Katzen LLP,1
LRS Mediations Group,1
American Eagle Mortgage Co. Inc. (FL),1
"American Credit Exchange, Inc",1
Arbor Residential Mortgage LLC,1
"Anchor Mortgage, LLC",1
"ThunderRoad Financial, LLC",1
Thunder Auto Finance LLC,1
"Thrivepoint Financial Holdings, Inc.",1
Thrifty Motors Inc.,1
Leaders Financial Company,1
"Law Offices of Robert S. Gitmeid & Associates, PLLC",1
"Ambassador Mortgage, LLC",1
"Alpine Credit, Inc",1
"AlpacaDB, Inc.",1
Allied Union Group Inc,1
Tulsa Adjustment Bureau,1
"True Link Financial, Inc.",1
Triple AC Resolutions,1
"Total Recovery Services, Inc",1
"Total Financial Services, Inc",1
"Time Investment Company, Inc.",1
Amigos Préstamos,1
"American International Finance, Inc.",1
American Financial Network Inc.,1
American Finance LLC,1
"American Enterprises International, Inc.",1
"G&P Enterprises, LLC",1
Alliance Group & Associates LLC,1
Allen & Withrow,1
LPSG,1
"LPI, INC.",1
LENDER LIVE,1
"LENCO FINANCE OF CARENCRO, INC",1
GREATAMERICA FINANCIAL SERVICES CORP.,1
"GEORGETOWN MORTGAGE, INC.",1
GENWORTH FINANCIAL INC.,1
Get Financed LLC,1
"Genesis Recovery Services, Inc.",1
"General Recovery Services of WV, Inc.",1
General Credit Service Inc.,1
"Gate US, Inc.",1
"American Collection Systems, Inc.",1
AmeriFirst Financial Corporation,1
"Aequitas Capital Opportunities Fund, LP",1
"Gaskell & Giovannini, LLC",1
Garrison Law Office L.L.C.,1
Gallatin Valley Financial,1
"Klover Holdings, Inc.",1
Kirschenbaum & Phillips P.C,1
Khoury Alternative Claims Management,1
Goodwill Finance LLC,1
"Goldman & Van Beek, P.C",1
"Global Processing Services, LLC",1
"Advantage Auto Sales, Inc.",1
Advanced Credit Management,1
UNITED MORTGAGE CORP,1
"U.S. Equity Advantage Holdings, Inc.",1
"Allied International Credit Corp., (US)",1
"Allied Collection Services, Inc. (Nevada)",1
Greenway Mortgage Funding Corp.,1
Granite Bay Acceptance Inc.,1
"Grand American Resources, Inc",1
Gotham Collection Services Corp.,1
"Kehoe Financial Group, LLC",1
Kashia Services,1
"Adam I. Skolnik, P.A. d/b/a Law Office of Adam I. Skolnik, P.A.",1
Action Finance Inc.,1
"Union Credit, Inc.",1
"Unchained Capital, Inc.",1
"Uetsa Tsakits, Inc. d/b/a MaxLend",1
"USA Credit Solutions, Inc",1
"USA Cash Services Management, Inc.",1
UNIVERSAL ACCOUNTS LLC,1
Aidenbaum Schloff and Bloom PLLC,1
Agency of Credit Control,1
Guidiville Indian Rancheria,1
"KILOWATT FINANCIAL, LLC, A SPRUCE FINANCE COMPANY",1
KCB Credit LLC,1
Jupiter PreOwned Sales LLC,1
"Joseph M. Tobin, PC",1
"Jones & Walden, LLC",1
"Johnson, Blumberg & Associates, LLC",1
Jet Lending Inc.,1
"Accounts Receivable Management, Inc",1
Accounts Receivable Inc.,1
Accounts Receivable Consultants Inc.,1
"Account Control Technology, Inc.",1
"United Debt Counselors, LLC",1
"Unitas Lending, LLC",1
Unisource Joint Ventures LLC,1
Advanced Check And Credit Recovery,1
"VeriCore, LLC",1
"Vendor Resource Management, Inc.",1
Veem  Inc.,1
"Vanguard Financial Services, Inc.",1
"VNU Group, LLC",1
VIAMERICAS CORPORATION,1
VETERIS CAPITAL LLC,1
"VERITAS FUNDING, LLC",1
Universal Recovery Corporation,1
"Universal Credit Services, Inc",1
Acer Capital Recovery LLC,1
Accurate Financial Services,1
Accounts Recovery Agency Inc.,1
"Accounts Receivables, Inc. (FL)",1
KOP Collection Services LLC,1
"HABITAT FOR HUMANITY INTERNATIONAL, INC.",1
"Jenkins, Wagnon & Young, P.C.",1
"Jeffrey A. Clark & Associates, APLC",1
"Jason Michael Katz, P.C.",1
"JP Jensen Collections, LLC",1
"JMD,LLC",1
"JMC Leasing Specialties, LLC",1
"Healthcare Collection Specialists, Inc.",1
"Health Management Services, Inc. d/b/a Corporate Legal Services LLC",1
Headwaters Financial Corp.,1
"Hawthorn Horizon Credit Fund, Series 2",1
"ATL Ohio, Inc.",1
"Account Control Services, Inc",1
"AccessOne  Holdings, Inc.",1
Absolute investment Group,1
"Above Lending, Inc.",1
Veterans Relief Services LLC,1
ARTICLE ACCEPTANCE COMPANY,1
"Harrison Financial, LLC",1
"Harrington, anderson & deblasio",1
"JAN (LendUSA) Holdings, Inc.",1
J.C. Lewis Motor Co.,1
"Investment Management Company, LLC",1
"Internet Escrow Services, Inc.",1
"International Recovery Associates, Inc.",1
AMERISAVE MORTGAGE CORPORATION,1
"AMERIFIRST FINANCIAL, INC.",1
AMERICAN FAMILY FUNDING GROUP Inc.,1
"WILKINSON LAW FIRM, P.C.",1
Volunteer Mortgage Loan Servicing,1
ATM OPS INC,1
Hans Capital Group dba H&L Automotive Financial Services,1
HFS Financial LLC,1
"AFJ Systems, Inc.",1
onDemand Lending Inc.,1
"iSolved HCM Services, LLC",1
ACCESS GROUP INC.,1
ABC Credit & Recovery Services Inc.,1
"Wilco Finance, Inc",1
Wharthog Ventures LLC dba Loans Not Sharks,1
Westley Auto Inc,1
"Welcome Finance Company, Inc",1
"AMERICA'S LOAN COMPANY, LLC",1
"ALE Solutions, Inc.",1
Innovative Strategic Solutions,1
"Imperial Recovery Consultants, LLC",1
Idaho Housing And Finance Association,1
IOWA STUDENT LOAN LIQUIDITY CORPORATION,1
"INTEGRAL RECOVERIES, INC.",1
Pharus Funding LLC,1
"Peterson Young P.C., d/b/a  Miller Cohen Peterson Young P.C.",1
"Peterson Enterprises, Inc.",1
"Peter Roberts & Associates, Inc.",1
Personalized Collection Services,1
Peoples Credit Inc.,1
Peerless Credit Services Inc,1
"Peak Acceptance, LLC.",1
"1803 Capital, LLC",1
"elizabeth f schwartz, p.a.",1
1ST PREFERENCE MORTGAGE CORP,1
"YREFY SLP5, LLC",1
"Wyatt Johnson Automotive Group Holdings, LLC",1
"World Credit Investors, LLC",1
"Wise Finance, LLC",1
Windham Equity Company,1
