company,complaint_count
UMB FINANCIAL CORPORATION,51
"Jim Bottin Enterprises, Inc",50
"Perpay, Inc.",50
"Seattle Service Bureau, Inc",50
ASSOCIATED BANC-CORP,50
Prince Parker & Associates,49
Healthcare Finance Direct LLC.,49
"Prosper Marketplace, Inc.",49
"Second Alliance, Inc.",48
"P&B Capital Group, LLC",48
"Applied Data Finance, LLC",48
"Adler Wallach & Associates, Inc.",48
"Alliance One, Inc.",48
VW Credit,48
"SIMM Associates, Inc.",48
"Mobiloans, LLC",48
"BMW Financial Services NA, LLC",48
AFNI INC.,48
"Rocket Mortgage, LLC",47
"A & O Recovery Solutions, LLC",47
"SMITH, ROUCHON & ASSOCIATES, INC.",47
Climb Credit Inc.,47
HANCOCK WHITNEY BANK,46
"Rubin & Rothman, LLC",46
"Ray Klein, Inc.",46
Consumer Collection Management. Inc,46
2288984 Ontario Inc.,45
Zip Co US Inc.,45
ADP Inc.,45
"American First Finance, Inc.",45
"National Collection Systems, Inc.",44
"National Enterprise Systems, Inc.",44
"EVERBANK, NATIONAL ASSOCIATION",44
"Tenaglia & Hunt, PA",44
"Merchants and Medical Credit Corporation, Inc.",44
Conduent Incorporated,43
"The Stark Collection Agency, Inc.",43
DigniFi,43
"ARVEST BANK GROUP, INC.",43
Patient Accounting Service Center,43
"Franklin Collection Service, Inc.",43
Linebarger Goggan Blair & Sampson LLP,43
PREFERRED CREDIT INC,43
Atlantic Recovery Solutions LLC,42
"Northstar Location Services, LLC",42
"Asset Recovery Solutions, LLC",42
"PENNYMAC LOAN SERVICES, LLC.",42
"Business Processing Solutions, LLC",42
Johnson Mark LLC,42
"KLS Financial Services, Inc",42
R & B Corporation of Virginia,41
Acorns Grow Incorporated,41
OLD NATIONAL BANCORP,41
"Io, Inc.",41
"S & S Recovery, Inc.",40
"Aqua Finance, Inc.",40
Credit Card Acquisitions Group,40
World Omni Financial Corp.,40
"Stenger & Stenger, P.C",39
"Harpeth Financial Services, LLC",39
ENRAMEX INC,39
"Americas Car-Mart, Inc.",39
"Collection Receivables, Inc.",39
"JDJ Investments, INC.",38
"FEDChex Recovery, LLC",38
Nelson Cruz & Associates LLC,38
"Absolute Recovery Services, LLC",38
WorldRemit Corp.,38
Viking Client Services,38
TapTap Send Inc.,38
"Complete Credit Solutions, Inc.",37
FourLeaf Federal Credit Union,37
"Professional Finance Company, Inc.",37
ADIR INTERNATIONAL LLC,37
Medical-Commercial Audit Inc,37
"International Computer Systems, Inc.",36
Forest Recovery Services LLC,36
"Deinde Online Services, LLC",36
Stellantis Financial Services US Corp.,36
CAC Financial Corp,36
"Credit Collections U.S.A., L.L.C.",36
Commercial Acceptance Company,35
Telerecovery Corporation,35
We Collect Inc,35
Alliant Capital Management LLC,34
"Byrider Franchising, LLC",34
"COLUMBIA BANKING SYSTEM, INC.",34
FREEDOM FINANCIAL NETWORK,34
"Media Collections, Inc",34
"Transfinancial Companies, Inc",34
AMERIS BANCORP,33
"Veros Credit, LLC",33
"Key 2 Recovery, Inc.",33
"Harvard Collections, LLC",33
"M.A.R.S., Inc.",33
CADENCE BANK,33
"Sunset Management, Inc",32
Financial Credit Network Inc,32
Clark County Collection Service,32
Premier Account Management,32
SOUTHSTATE BANK CORPORATION,32
Messerli & Kramer P.A.,31
eCon Credit LP,31
"Steel River Systems, LLC",31
"BILL.COM, LLC",31
Hunt & Henriques,31
VALLEY NATIONAL BANCORP,31
Larry H. Miller Group of Companies,31
"Law Office of Brett M. Borland, P.C.",31
Essential Lending Inc,31
"M. G. Credit, Inc.",31
LEXISNEXIS,31
Freedom Mortgage Company,30
"Ria Envia, LLC",30
"Ideal Collection Services, Inc.",30
"Cascade Capital, LLC",30
WLCC,30
"TEXAS CAPITAL BANCSHARES, INC.",30
"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",30
"Navient Solutions, LLC.",30
FULTON FINANCIAL CORPORATION,30
Fig Tech Inc.,30
"The Best Service Co.,Inc",30
"Tilt Finance, Inc.",29
"Financial Recovery Services, Inc.",29
"BANK OF NEW YORK MELLON CORPORATION, THE",29
"DRB-40, LLC",29
"First National Collection Bureau, Inc.",29
CNG HOLDINGS INC,29
"Credit Bureau Systems, Inc., Paducah, KY Branch",29
"Palmar, Inc.",29
BAM Management US Holdings Inc.,29
"Servicing Solutions, LLC",29
"First Financial Resources, Inc.",28
"Midwest Fidelity Services, LLC",28
"Express Recovery Services, Inc.",28
MIDFIRST BANK,28
Top Line Collectors LLC,28
"Jon Barry and Associates, Inc.",28
WSFS FINANCIAL CORPORATION,27
TRUSTMARK CORPORATION,27
"Finance System of Richmond, Inc.",27
Rosebud Economic Development Corporation,27
"Collection Professionals, Inc.",27
"FMA Alliance, Ltd.",27
"Mercari, Inc.",27
"Mountain Land Collections, Inc.",27
Credit Bureau Services Association,27
"CBC Companies, Inc.",27
"Merchants Adjustment Service, Inc.",26
"Nationwide Credit & Collection, Inc.",26
"State Collection Service, Inc.",26
OKX INC.,26
MECHANICS BANK,26
"SCA Collections, Inc.",26
GLOBAL CREDIT UNION,26
EAST WEST BANK,26
"Phillips & Cohen Associates, Ltd.",26
"LoanCare, LLC",26
SAN DIEGO COUNTY CREDIT UNION,26
Grant Mercantile Agency,26
MIDWEST RECEIVABLE SOLUTIONS LLC,25
Credit Service Company,25
"Advanced Collection Bureau, Inc.",25
Grant & Weber,25
"Collection Bureau of Fort Walton Beach, Inc",25
AUTOMOTIVE CREDIT CORPORATION,25
"ECMC GROUP, INC.",25
"Mid-South Adjustment Co., Inc.",25
YSA ARM LLC DBA Oxygen XL,25
"Javitch, Block & Rathbone LLC",24
"Accscient, LLC",24
"U.S. Collections West, Inc.",24
"Flexible Finance, Inc.",24
"Klima, Peters & Daly, P.A.",24
"DailyPay, Inc",24
Novo Platform Inc.,24
Newport Intermediate Inc.,24
Western-Shamrock Corporation,24
IQOR US INC,24
SECURITY SERVICE FEDERAL CREDIT UNION,24
"Professional Credit Management, Inc",24
"Federal Adjustment Bureau, Inc.",24
"Majority USA, LLC",23
"Eastern Revenue, Inc.",23
"Roosen, Varchetti & Olivier, PLLC",23
"Mid-Atlantic Finance Co., Inc.",23
"Torres Credit Services, Inc.",23
FDR Asset USA LTD,23
"ShoulderTap Technologies, Inc. d/b/a Fizz",23
Nationwide Credit Corporation,23
Global Tel*Link Corporation,23
"United Accounts, Inc.",23
Financial Accounts Service Team Inc.,23
"GREENSKY OPERATIONS, LLC",23
Receivables Management Corporation,23
"ATG Credit, LLC",23
"J J Marshall & Associates, Inc",23
"Nelson and Kennard, LLP",23
"SELECT PORTFOLIO SERVICING, INC.",23
ALCHRO INC.,23
VELO LAW OFFICE,22
FIRSTBANK PUERTO RICO,22
"PROSPERITY BANCSHARES, INC.",22
"COLLECTECH DIVERSIFIED, INC.",22
"PatientFi, Inc.",22
"National Recovery Solutions, LLC",22
"Express Collections, Inc.",22
BANK OZK,22
"Roadrunner Account Services, LLC",22
"ARS National Services, Inc.",22
"Advance America, Cash Advance Centers, Inc.",22
Kashable LLC,22
LOBEL FINANCIAL CORPORATION,22
LendingPoint Holdings LLC,22
CURO Intermediate Holdings,22
Yamaha Motor Finance Corporation USA,21
"Strategic Alliances, Inc.",21
IDAHO CENTRAL CREDIT UNION,21
Mutual Management Services LLC,21
The Moore Law Group,21
"Financial Management Solutions, LLC",21
"Capstone Credit & Collection, LLC.",21
Retail Merchants Associates,21
"Capital Accounts, LLC",21
"CashRepublic Holdings, Inc.",21
"CreditNinja Lending, LLC",21
"FIRST INTERSTATE BANCSYSTEM, INC.",21
FIRST NATIONAL BANK OF PENNSYLVANIA,21
Hollis Cobb Associates,20
"Central States Recovery, Inc.",20
"COAST PROFESSIONAL, INC.",20
"Selip & Stylianou, LLP",20
"Collections Acquisition Company, Inc.",20
"Glasser and Glasser, PLC",20
"B9, Inc.",20
